"rowid","time","location","happiness","unhappiness"
"222","2011-09-03 10:58:55","1","2","0"
"223","2011-09-03 10:58:55","4","1","0"
"224","2011-09-03 10:59:03","4","1","0"
"225","2011-09-03 10:59:13","1","3","0"
"226","2011-09-03 10:59:20","4","1","0"
"227","2011-09-03 10:59:28","4","1","0"
"228","2011-09-03 11:00:15","1","1","0"
"229","2011-09-03 11:00:17","4","3","0"
"230","2011-09-03 11:00:36","1","1","0"
"231","2011-09-03 11:00:45","4","1","0"
"232","2011-09-03 11:00:54","3","1","0"
"233","2011-09-03 11:01:12","1","1","0"
"234","2011-09-03 11:01:19","1","1","0"
"235","2011-09-03 11:01:25","1","1","0"
"236","2011-09-03 11:01:26","3","0","1"
"237","2011-09-03 11:01:34","3","1","0"
"238","2011-09-03 11:02:41","3","0","1"
"239","2011-09-03 11:02:41","1","2","0"
"240","2011-09-03 11:02:43","5","1","0"
"241","2011-09-03 11:02:57","3","1","1"
"242","2011-09-03 11:03:43","4","1","0"
"243","2011-09-03 11:03:47","5","1","0"
"244","2011-09-03 11:04:08","1","1","0"
"245","2011-09-03 11:04:17","4","1","0"
"246","2011-09-03 11:04:17","3","1","0"
"247","2011-09-03 11:05:08","4","1","1"
"248","2011-09-03 11:05:37","1","1","0"
"249","2011-09-03 11:05:45","1","1","0"
"250","2011-09-03 11:05:52","1","1","0"
"251","2011-09-03 11:06:17","3","1","0"
"252","2011-09-03 11:06:19","4","1","0"
"253","2011-09-03 11:06:35","1","1","0"
"254","2011-09-03 11:06:42","4","1","0"
"255","2011-09-03 11:07:12","1","1","0"
"256","2011-09-03 11:07:21","1","1","0"
"257","2011-09-03 11:07:52","4","2","0"
"258","2011-09-03 11:08:16","4","1","0"
"259","2011-09-03 11:08:18","1","1","0"
"260","2011-09-03 11:08:35","1","1","1"
"261","2011-09-03 11:08:38","3","1","0"
"262","2011-09-03 11:08:39","4","1","0"
"263","2011-09-03 11:09:02","4","0","1"
"264","2011-09-03 11:09:14","5","1","0"
"265","2011-09-03 11:09:37","5","4","0"
"266","2011-09-03 11:09:40","1","1","0"
"267","2011-09-03 11:09:49","4","0","1"
"268","2011-09-03 11:10:22","1","1","0"
"269","2011-09-03 11:10:32","1","1","0"
"270","2011-09-03 11:11:01","3","1","0"
"271","2011-09-03 11:11:22","5","1","0"
"272","2011-09-03 11:12:04","5","1","0"
"273","2011-09-03 11:12:17","1","0","1"
"274","2011-09-03 11:12:24","1","1","0"
"275","2011-09-03 11:12:57","1","2","0"
"276","2011-09-03 11:13:28","1","1","0"
"277","2011-09-03 11:13:37","1","1","0"
"278","2011-09-03 11:14:11","5","1","0"
"279","2011-09-03 11:14:28","1","0","1"
"280","2011-09-03 11:14:35","4","1","1"
"281","2011-09-03 11:14:36","3","1","0"
"282","2011-09-03 11:14:37","1","1","0"
"283","2011-09-03 11:14:42","4","1","0"
"284","2011-09-03 11:14:45","5","1","0"
"285","2011-09-03 11:14:45","3","0","1"
"286","2011-09-03 11:14:51","4","0","1"
"287","2011-09-03 11:15:18","4","1","0"
"288","2011-09-03 11:15:24","5","0","1"
"289","2011-09-03 11:15:28","4","1","0"
"290","2011-09-03 11:16:10","3","1","0"
"291","2011-09-03 11:16:29","4","1","0"
"292","2011-09-03 11:16:39","5","1","0"
"293","2011-09-03 11:17:38","3","2","0"
"294","2011-09-03 11:18:45","4","1","0"
"295","2011-09-03 11:19:20","4","1","0"
"296","2011-09-03 11:19:38","4","2","1"
"297","2011-09-03 11:19:52","4","1","0"
"298","2011-09-03 11:20:04","5","0","1"
"299","2011-09-03 11:20:27","1","1","0"
"300","2011-09-03 11:20:34","5","1","0"
"301","2011-09-03 11:21:12","3","1","0"
"302","2011-09-03 11:21:21","3","1","1"
"303","2011-09-03 11:21:26","5","1","0"
"304","2011-09-03 11:21:31","3","1","1"
"305","2011-09-03 11:21:52","1","1","0"
"306","2011-09-03 11:21:57","3","2","2"
"307","2011-09-03 11:22:02","3","1","0"
"308","2011-09-03 11:22:12","3","1","0"
"309","2011-09-03 11:22:27","5","1","0"
"310","2011-09-03 11:22:38","4","1","0"
"311","2011-09-03 11:22:43","5","2","0"
"312","2011-09-03 11:22:53","3","1","0"
"313","2011-09-03 11:23:20","1","0","2"
"314","2011-09-03 11:24:13","1","1","0"
"315","2011-09-03 11:24:36","4","1","0"
"316","2011-09-03 11:25:05","4","1","0"
"317","2011-09-03 11:25:24","4","2","1"
"318","2011-09-03 11:25:25","1","1","0"
"319","2011-09-03 11:25:29","4","1","0"
"320","2011-09-03 11:25:32","1","0","1"
"321","2011-09-03 11:25:37","4","1","0"
"322","2011-09-03 11:25:42","4","1","0"
"323","2011-09-03 11:25:43","1","2","0"
"324","2011-09-03 11:25:48","4","0","1"
"325","2011-09-03 11:25:50","1","1","0"
"326","2011-09-03 11:25:56","1","0","1"
"327","2011-09-03 11:26:00","4","1","0"
"328","2011-09-03 11:26:06","1","1","0"
"329","2011-09-03 11:26:30","5","0","1"
"330","2011-09-03 11:26:33","1","0","1"
"331","2011-09-03 11:26:39","4","1","0"
"332","2011-09-03 11:26:41","5","1","1"
"333","2011-09-03 11:26:45","4","1","0"
"334","2011-09-03 11:26:48","5","0","1"
"335","2011-09-03 11:27:18","3","1","0"
"336","2011-09-03 11:27:47","4","1","0"
"337","2011-09-03 11:28:06","3","1","0"
"338","2011-09-03 11:28:48","1","1","1"
"339","2011-09-03 11:29:03","1","2","1"
"340","2011-09-03 11:29:07","4","1","0"
"341","2011-09-03 11:29:12","5","1","0"
"342","2011-09-03 11:29:14","1","0","1"
"343","2011-09-03 11:29:25","1","2","0"
"344","2011-09-03 11:29:33","1","0","1"
"345","2011-09-03 11:30:26","5","0","1"
"346","2011-09-03 11:30:38","4","1","0"
"347","2011-09-03 11:30:43","3","1","0"
"348","2011-09-03 11:31:33","1","1","0"
"349","2011-09-03 11:32:14","1","1","0"
"350","2011-09-03 11:32:22","1","1","0"
"351","2011-09-03 11:32:30","3","1","0"
"352","2011-09-03 11:32:36","4","1","0"
"353","2011-09-03 11:32:48","4","1","0"
"354","2011-09-03 11:32:53","1","1","0"
"355","2011-09-03 11:33:10","1","1","1"
"356","2011-09-03 11:33:13","4","1","0"
"357","2011-09-03 11:33:19","1","1","0"
"358","2011-09-03 11:33:27","4","1","0"
"359","2011-09-03 11:33:29","1","2","0"
"360","2011-09-03 11:33:45","1","1","0"
"361","2011-09-03 11:33:51","5","1","0"
"362","2011-09-03 11:33:52","1","1","0"
"363","2011-09-03 11:34:00","1","1","0"
"364","2011-09-03 11:34:02","3","1","0"
"365","2011-09-03 11:34:09","1","2","0"
"366","2011-09-03 11:34:10","3","1","0"
"367","2011-09-03 11:34:16","3","0","1"
"368","2011-09-03 11:34:18","1","2","0"
"369","2011-09-03 11:34:23","3","1","0"
"370","2011-09-03 11:34:28","1","2","0"
"371","2011-09-03 11:34:31","3","0","1"
"372","2011-09-03 11:34:35","5","2","0"
"373","2011-09-03 11:34:35","4","1","0"
"374","2011-09-03 11:34:36","1","2","0"
"375","2011-09-03 11:34:41","3","1","0"
"376","2011-09-03 11:34:51","3","0","1"
"377","2011-09-03 11:34:51","5","1","0"
"378","2011-09-03 11:35:02","1","1","0"
"379","2011-09-03 11:35:11","1","1","0"
"380","2011-09-03 11:35:14","4","2","2"
"381","2011-09-03 11:35:22","4","1","1"
"382","2011-09-03 11:35:23","1","1","0"
"383","2011-09-03 11:35:28","4","1","0"
"384","2011-09-03 11:35:45","1","3","0"
"385","2011-09-03 11:35:47","4","2","0"
"386","2011-09-03 11:36:06","4","1","0"
"387","2011-09-03 11:36:07","5","1","0"
"388","2011-09-03 11:36:12","1","1","0"
"389","2011-09-03 11:36:24","3","1","0"
"390","2011-09-03 11:36:34","3","1","1"
"391","2011-09-03 11:36:35","4","1","0"
"392","2011-09-03 11:37:01","3","1","0"
"393","2011-09-03 11:37:38","1","0","1"
"394","2011-09-03 11:37:47","1","1","0"
"395","2011-09-03 11:38:05","1","1","0"
"396","2011-09-03 11:38:14","1","1","0"
"397","2011-09-03 11:38:19","3","1","0"
"398","2011-09-03 11:38:20","1","0","1"
"399","2011-09-03 11:38:36","4","1","1"
"400","2011-09-03 11:38:36","1","2","0"
"401","2011-09-03 11:38:40","5","1","0"
"402","2011-09-03 11:38:43","1","1","0"
"403","2011-09-03 11:38:46","3","1","0"
"404","2011-09-03 11:38:46","4","0","1"
"405","2011-09-03 11:38:51","1","0","1"
"406","2011-09-03 11:38:52","3","1","0"
"407","2011-09-03 11:38:55","4","1","0"
"408","2011-09-03 11:39:04","4","1","0"
"409","2011-09-03 11:39:14","4","2","0"
"410","2011-09-03 11:39:20","4","1","0"
"411","2011-09-03 11:39:24","3","1","0"
"412","2011-09-03 11:39:26","4","1","0"
"413","2011-09-03 11:39:33","3","1","0"
"414","2011-09-03 11:39:33","4","1","0"
"415","2011-09-03 11:39:40","4","1","0"
"416","2011-09-03 11:39:47","4","1","0"
"417","2011-09-03 11:40:02","1","1","0"
"418","2011-09-03 11:40:09","1","1","0"
"419","2011-09-03 11:40:11","4","1","0"
"420","2011-09-03 11:40:25","1","1","0"
"421","2011-09-03 11:40:33","5","1","0"
"422","2011-09-03 11:40:34","4","3","0"
"423","2011-09-03 11:40:45","3","0","1"
"424","2011-09-03 11:40:50","4","1","0"
"425","2011-09-03 11:40:58","1","1","0"
"426","2011-09-03 11:41:15","1","2","0"
"427","2011-09-03 11:41:18","4","1","0"
"428","2011-09-03 11:41:25","3","1","0"
"429","2011-09-03 11:41:29","4","0","1"
"430","2011-09-03 11:41:45","1","2","0"
"431","2011-09-03 11:41:45","4","2","0"
"432","2011-09-03 11:41:54","4","0","2"
"433","2011-09-03 11:42:00","3","1","0"
"434","2011-09-03 11:42:02","4","1","0"
"435","2011-09-03 11:42:08","3","1","0"
"436","2011-09-03 11:42:08","4","1","0"
"437","2011-09-03 11:42:13","1","0","1"
"438","2011-09-03 11:42:20","5","0","1"
"439","2011-09-03 11:42:21","1","0","1"
"440","2011-09-03 11:42:22","4","2","0"
"441","2011-09-03 11:42:40","1","1","0"
"442","2011-09-03 11:42:41","5","1","0"
"443","2011-09-03 11:42:41","3","1","0"
"444","2011-09-03 11:42:48","4","1","1"
"445","2011-09-03 11:43:02","3","1","0"
"446","2011-09-03 11:43:27","1","1","0"
"447","2011-09-03 11:44:00","4","2","0"
"448","2011-09-03 11:44:07","5","1","0"
"449","2011-09-03 11:44:25","1","1","0"
"450","2011-09-03 11:44:26","5","2","0"
"451","2011-09-03 11:44:28","4","1","0"
"452","2011-09-03 11:44:48","3","1","0"
"453","2011-09-03 11:44:55","4","1","0"
"454","2011-09-03 11:45:02","3","1","0"
"455","2011-09-03 11:45:03","4","1","0"
"456","2011-09-03 11:45:09","3","0","1"
"457","2011-09-03 11:45:13","4","1","0"
"458","2011-09-03 11:45:22","1","1","0"
"459","2011-09-03 11:45:23","4","1","1"
"460","2011-09-03 11:45:27","3","1","0"
"461","2011-09-03 11:45:47","1","1","0"
"462","2011-09-03 11:45:57","4","2","0"
"463","2011-09-03 11:46:03","1","1","0"
"464","2011-09-03 11:46:09","1","1","0"
"465","2011-09-03 11:46:23","5","0","1"
"466","2011-09-03 11:46:27","4","1","1"
"467","2011-09-03 11:46:31","5","1","0"
"468","2011-09-03 11:46:32","4","1","0"
"469","2011-09-03 11:46:37","1","0","1"
"470","2011-09-03 11:46:40","5","1","1"
"471","2011-09-03 11:46:42","4","1","0"
"472","2011-09-03 11:46:47","3","0","2"
"473","2011-09-03 11:46:48","5","0","1"
"474","2011-09-03 11:46:54","4","1","0"
"475","2011-09-03 11:47:01","4","1","0"
"476","2011-09-03 11:47:10","3","1","0"
"477","2011-09-03 11:47:18","4","1","0"
"478","2011-09-03 11:47:23","5","0","1"
"479","2011-09-03 11:47:33","5","1","0"
"480","2011-09-03 11:47:43","3","1","0"
"481","2011-09-03 11:47:44","5","1","1"
"482","2011-09-03 11:48:00","1","1","0"
"483","2011-09-03 11:48:24","1","3","1"
"484","2011-09-03 11:48:46","1","1","0"
"485","2011-09-03 11:48:48","4","1","0"
"486","2011-09-03 11:48:58","1","1","1"
"487","2011-09-03 11:49:02","4","2","0"
"488","2011-09-03 11:49:05","1","1","1"
"489","2011-09-03 11:49:14","1","1","0"
"490","2011-09-03 11:49:14","4","1","0"
"491","2011-09-03 11:49:19","1","0","1"
"492","2011-09-03 11:49:34","4","1","0"
"493","2011-09-03 11:49:50","1","1","2"
"494","2011-09-03 11:49:54","3","1","0"
"495","2011-09-03 11:50:09","5","1","0"
"496","2011-09-03 11:50:12","4","1","0"
"497","2011-09-03 11:50:22","4","1","0"
"498","2011-09-03 11:50:43","1","1","0"
"499","2011-09-03 11:50:53","4","1","0"
"500","2011-09-03 11:51:35","4","1","0"
"501","2011-09-03 11:51:37","1","1","0"
"502","2011-09-03 11:51:42","5","0","1"
"503","2011-09-03 11:51:51","1","1","0"
"504","2011-09-03 11:51:55","4","1","0"
"505","2011-09-03 11:51:59","1","0","1"
"506","2011-09-03 11:52:06","4","2","0"
"507","2011-09-03 11:52:14","4","1","0"
"508","2011-09-03 11:52:16","1","1","0"
"509","2011-09-03 11:52:36","5","1","0"
"510","2011-09-03 11:53:17","5","1","0"
"511","2011-09-03 11:53:44","5","1","0"
"512","2011-09-03 11:53:48","3","1","0"
"513","2011-09-03 11:53:51","5","1","0"
"514","2011-09-03 11:53:57","3","1","0"
"515","2011-09-03 11:54:00","1","0","1"
"516","2011-09-03 11:54:00","5","1","0"
"517","2011-09-03 11:54:05","3","1","0"
"518","2011-09-03 11:54:09","1","1","0"
"519","2011-09-03 11:54:11","4","1","1"
"520","2011-09-03 11:54:18","3","1","0"
"521","2011-09-03 11:54:19","1","1","1"
"522","2011-09-03 11:54:30","1","1","0"
"523","2011-09-03 11:54:32","3","1","0"
"524","2011-09-03 11:54:34","5","0","1"
"525","2011-09-03 11:54:38","4","0","1"
"526","2011-09-03 11:54:56","1","0","1"
"527","2011-09-03 11:55:04","1","1","0"
"528","2011-09-03 11:55:09","4","1","0"
"529","2011-09-03 11:55:27","4","1","0"
"530","2011-09-03 11:55:34","1","2","1"
"531","2011-09-03 11:55:44","4","2","0"
"532","2011-09-03 11:55:53","1","1","0"
"533","2011-09-03 11:55:54","4","1","1"
"534","2011-09-03 11:55:59","4","1","0"
"535","2011-09-03 11:56:01","1","1","1"
"536","2011-09-03 11:56:07","3","1","0"
"537","2011-09-03 11:56:17","4","1","2"
"538","2011-09-03 11:56:29","3","1","0"
"539","2011-09-03 11:56:32","4","2","0"
"540","2011-09-03 11:56:41","4","1","0"
"541","2011-09-03 11:56:51","4","1","0"
"542","2011-09-03 11:56:57","5","1","0"
"543","2011-09-03 11:57:00","1","0","1"
"544","2011-09-03 11:57:09","1","1","0"
"545","2011-09-03 11:57:22","1","2","0"
"546","2011-09-03 11:57:28","3","1","0"
"547","2011-09-03 11:57:42","4","1","0"
"548","2011-09-03 11:57:52","3","2","0"
"549","2011-09-03 11:57:56","1","1","1"
"550","2011-09-03 11:58:02","1","0","1"
"551","2011-09-03 11:58:09","1","1","0"
"552","2011-09-03 11:58:16","1","1","1"
"553","2011-09-03 11:58:26","1","1","1"
"554","2011-09-03 11:58:34","1","1","1"
"555","2011-09-03 11:58:40","3","1","0"
"556","2011-09-03 11:58:41","1","0","1"
"557","2011-09-03 11:58:56","4","1","0"
"558","2011-09-03 11:59:11","4","1","0"
"559","2011-09-03 11:59:19","1","1","0"
"560","2011-09-03 11:59:20","5","1","0"
"561","2011-09-03 11:59:28","4","2","0"
"562","2011-09-03 11:59:44","5","2","0"
"563","2011-09-03 12:00:00","4","1","0"
